Date,Start Time,End Time,Break,Title,Teacher,Description,Cost,Format,Registration Link,Featured Image,Teacher Image
December 31 2025,7:00 PM,10:00 PM,8:15 PM - Social gathering with hors d'oeuvres and mocktails,New Years Eve Meditation & Celebration,Various,"Begin the New Year in your heart, not your head. Experience collective meditation in a blessed space while cultivating inner happiness. Guided meditation at 7pm, then social celebration.",$25,In-Person,,https://meditationinwilliamsburg.org/wp-content/uploads/2025/12/Grey-Green-Gradient-Minimal-Personal-Brand-Tips-Instagram-Post-8.5-x-11-in-Instagram-Post-4.PNG.jpg,
January 3 2026,11:00 AM,1:30 PM,,Developing Authentic Confidence,Debbie Feiner,"Explore cultivating authentic confidence—a clear, grounded sense of our own potential—to overcome limiting beliefs and inner obstacles.",$25,In-Person,https://checkout.meditationinnewyork.org/authentic-confidence-in-person-wb/,https://meditationinwilliamsburg.org/wp-content/uploads/2025/12/AuthenticConfidence.jpeg,
