Date,Start Time,End Time,Break,Title,Teacher,Description,Cost,Format,Registration Link,Featured Image,Teacher Image
January 10 2026,11:00 AM,1:30 PM,,3 Go-to Meditations for a Peaceful Mind,Tom Lauricella,"Two-part retreat exploring foundational meditation practices designed to reduce mental stress. Learn three core meditations suitable for beginners and experienced practitioners.",$25,In-Person,https://checkout.meditationinnewyork.org/peaceful-mind-in-person-wb/,https://meditationinwilliamsburg.org/wp-content/uploads/2025/12/This-Week-Template-3.png,https://meditationinwilliamsburg.org/wp-content/uploads/2024/10/tom-lauricella-kmc-kadampa-meditation-teacher-nyc-600x416-1.jpeg
January 24 2026,11:00 AM,1:30 PM,,Fundamentals of Meditation,Tom Lauricella,"A 2-part retreat exploring how to build a deep and lasting meditation practice. Covers foundational principles and wisdom views needed to sustain consistent meditation work.",$25,In-Person,https://checkout.meditationinnewyork.org/fundamentals-in-person-wb/,https://meditationinwilliamsburg.org/wp-content/uploads/2025/12/This-Week-Template-4.png,https://meditationinwilliamsburg.org/wp-content/uploads/2024/10/tom-lauricella-kmc-kadampa-meditation-teacher-nyc-600x416-1.jpeg
